Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
0,0,0.01,19.76666667,3.202111111,74.73333333,2.477777778,14.24,102.69,295,2.5,0
0.01,0,0.01,19.46666667,2.809222222,75.58888889,4.311111111,14.24,102.69,295,2.5,0
0.02,0,0.01,19.24444444,3.332888889,76.28888889,2.288888889,14.24,102.69,295,2.5,0
0.03,0,0.01,19.04444444,3.463777778,76.9,3.644444444,14.24,102.69,295,2.5,0
0.04,0,0.01,18.98888889,2.809111111,76.95555556,1.977777778,14.24,102.69,295,2.5,0
0.05,0,0.01,18.78888889,3.856666667,77.4,4.711111111,14.24,102.69,295,2.5,0
0.06,0,0.01,18.72222222,3.333,77.36666667,3.166666667,14.24,102.69,295,2.5,0
0.07,0,0.01,18.6,2.547222222,77.67777778,4.6,14.24,102.69,295,2.5,0
0.08,0,0.01,18.33333333,2.416333333,78.23333333,5.4,14.24,102.69,295,2.5,0
0.09,0,0.01,18.06666667,2.809222222,78.97777778,3.711111111,14.24,102.69,295,2.5,0
0.1,0,0.01,17.72222222,3.201888889,80.02222222,3.388888889,14.24,102.69,295,2.5,0
0.11,0,0.01,17.47777778,3.202,80.54444444,2.622222222,14.24,102.69,295,2.5,0
0.12,0,0.01,17.28888889,2.940111111,81.27777778,2.333333333,14.24,102.69,295,2.5,0
0.13,0,0.01,17.13333333,2.547333333,81.75555556,3.222222222,14.24,102.69,295,2.5,0
0.14,0,0.01,17.16666667,3.333,81.68888889,2.866666667,14.24,102.69,295,2.5,0
0.15,0,0.01,17.31111111,2.416333333,81.17777778,1.277777778,14.24,102.69,295,2.5,0
0.16,0,0.01,17.35,2.612833333,81.03333333,0.266666667,14.24,102.69,295,2.5,0
0.17,0,0.01,17.27777778,3.202,81.11111111,0.922222222,14.24,102.69,295,2.5,0
0.18,0,0.01,17.14444444,2.678222222,81.6,1.466666667,14.24,102.69,295,2.5,0
0.19,0,0.01,17.03333333,2.809222222,81.84444444,1.255555556,14.24,102.69,295,2.5,0
0.2,0,0.01,16.94444444,3.071111111,82.18888889,1.722222222,14.24,102.69,295,2.5,0
0.21,0,0.01,16.83333333,2.809222222,82.42222222,2.444444444,14.24,102.69,295,2.5,0
0.22,0,0.01,16.84444444,2.809222222,82.24444444,2.877777778,14.24,102.69,295,2.5,0
0.23,0,0.01,16.75555556,3.202,82.48888889,1.755555556,14.24,102.69,295,2.5,0
0.24,0,0.01,16.55,2.612833333,83.18333333,1.516666667,14.24,102.69,295,2.5,0
0.25,0,0.01,16.5,2.940111111,83.55555556,1.4,14.24,102.69,295,2.5,0
0.26,0,0.01,16.48888889,3.594777778,83.73333333,1.877777778,14.24,102.69,295,2.5,0
0.27,0,0.01,16.42222222,3.332888889,83.88888889,1.444444444,14.24,102.69,295,2.5,0
0.28,0,0.01,16.35555556,7.070888889,83.76666667,0.744444444,14.24,102.69,295,2.5,0
0.29,0,0.01,16.44444444,18.56233333,83.77777778,0.955555556,14.24,102.69,295,2.5,0
0.3,0,0.01,16.62222222,29.89522222,83.45555556,1.733333333,14.24,102.69,295,2.5,0
0.31,0,0.01,16.9,51.84644444,82.75555556,1.933333333,14.24,102.69,295,2.5,0
0.32,0,0.01,17.18888889,71.95655556,81.81111111,2.922222222,14.24,102.69,295,2.5,0
0.33,0,0.01,17.55,101.2865,80.73333333,1.833333333,14.24,102.69,295,2.5,0
0.34,0,0.01,18.06666667,117.8153333,79.2,1.533333333,14.24,102.69,295,2.5,0
0.35,0,0.01,18.47777778,146.1353333,77.51111111,3.133333333,14.24,102.69,295,2.5,0
0.36,0,0.01,18.63333333,158.0478889,77,4.8,14.24,102.69,295,2.5,0
0.37,0,0.01,19.25555556,196.7518889,75.23333333,2.5,14.24,102.69,295,2.5,0
0.38,0,0.01,19.74444444,243.1705556,73.48888889,3.522222222,14.24,102.69,295,2.5,0
0.39,0,0.01,20.46666667,374.2475556,71.47777778,4.955555556,14.24,102.69,295,2.5,0
0.4,0,0.01,21.41111111,414.2186667,68.65555556,5.066666667,14.24,102.69,295,2.5,0
0.41,0,0.01,22.06666667,396.3815,67.16666667,4.733333333,14.24,102.69,295,2.5,0
0.42,0,0.01,22.66666667,500.047,65.45555556,3.922222222,14.24,102.69,295,2.5,0
0.43,0,0.01,23.26666667,525.5981111,63.74444444,6.577777778,14.24,102.69,295,2.5,0
0.44,0,0.01,23.77777778,565.8811111,62.72222222,5.933333333,14.24,102.69,295,2.5,0
0.45,0,0.01,24.26666667,540.8396667,60.75555556,4.977777778,14.24,102.69,295,2.5,0
0.46,0,0.01,25.12222222,597.4785556,59.31111111,4.711111111,14.24,102.69,295,2.5,0
0.47,0,0.01,25.14444444,568.6373333,59.3,4.744444444,14.24,102.69,295,2.5,0
0.48,0,0.01,25.35555556,615.1641111,58.38888889,7.244444444,14.24,102.69,295,2.5,0
0.49,0,0.01,26.05,611.7491667,57.31666667,2.916666667,14.24,102.69,295,2.5,0
0.5,0,0.01,25.95555556,613.6155556,57.24444444,4.322222222,14.24,102.69,295,2.5,0
0.51,0,0.01,26.46666667,585.1831111,55.85555556,4,14.24,102.69,295,2.5,0
0.52,0,0.01,26.57777778,553.0833333,56.02222222,3.7,14.24,102.69,295,2.5,0
0.53,0,0.01,26.66666667,563.4247778,55.25555556,5.655555556,14.24,102.69,295,2.5,0
0.54,0,0.01,26.97777778,546.9742222,54.6,3.277777778,14.24,102.69,295,2.5,0
0.55,0,0.01,27.32222222,479.8574444,53.95555556,5.288888889,14.24,102.69,295,2.5,0
0.56,0,0.01,27.68888889,621.1006667,53.05555556,4.966666667,14.24,102.69,295,2.5,0
0.57,0,0.01,28.22222222,651.7083333,52.05555556,5.422222222,14.24,102.69,295,2.5,0
0.58,0,0.01,28.06666667,515.8113333,52.31666667,3.333333333,14.24,102.69,295,2.5,0
0.59,0,0.01,27.62222222,482.7173333,53.13333333,6.544444444,14.24,102.69,295,2.5,0
0.6,0,0.01,28.52222222,542.9585556,51.38888889,4.888888889,14.24,102.69,295,2.5,0
0.61,0,0.01,28.45555556,495.1354444,51.2,6.588888889,14.24,102.69,295,2.5,0
0.62,0,0.01,28.43333333,376.4084444,51.07777778,3.522222222,14.24,102.69,295,2.5,0
0.63,0,0.01,28.26666667,391.8232222,51.35555556,4.333333333,14.24,102.69,295,2.5,0
0.64,0,0.01,28.25555556,353.8047778,51.25555556,6.988888889,14.24,102.69,295,2.5,0
0.65,0,0.01,28.1,305.5095556,51.65555556,4.455555556,14.24,102.69,295,2.5,0
0.66,0,0.01,27.71666667,308.2705,52.51666667,3.383333333,14.24,102.69,295,2.5,0
0.67,0,0.01,28,263.114,51.54444444,4.6,14.24,102.69,295,2.5,0
0.68,0,0.01,27.5,179.4798889,52.23333333,4.533333333,14.24,102.69,295,2.5,0
0.69,0,0.01,27.05555556,134.0653333,53.63333333,3.655555556,14.24,102.69,295,2.5,0
0.7,0,0.01,26.65555556,104.3045556,54.64444444,1.788888889,14.24,102.69,295,2.5,0
0.71,0,0.01,26.4,71.21488889,55.61111111,1.755555556,14.24,102.69,295,2.5,0
0.72,0,0.01,25.93333333,43.33511111,57.14444444,1.711111111,14.24,102.69,295,2.5,0
0.73,0,0.01,25.52222222,25.24455556,58.4,1.355555556,14.24,102.69,295,2.5,0
0.74,0,0.01,24.95,12.529,59.76666667,0.483333333,14.24,102.69,295,2.5,0
0.75,0,0.01,24.14444444,6.213555556,61.71111111,0.966666667,14.24,102.69,295,2.5,0
0.76,0,0.01,23.6,4.380444444,63.35555556,0.644444444,14.24,102.69,295,2.5,0
0.77,0,0.01,23.08888889,2.416444444,65.02222222,0.677777778,14.24,102.69,295,2.5,0
0.78,0,0.01,22.57777778,2.678222222,67.27777778,0.355555556,14.24,102.69,295,2.5,0
0.79,0,0.01,22.24444444,3.594777778,68.22222222,0.288888889,14.24,102.69,295,2.5,0
0.8,0,0.01,21.91111111,2.940222222,69.55555556,0.177777778,14.24,102.69,295,2.5,0
0.81,0,0.01,21.66666667,3.594888889,70.94444444,0.211111111,14.24,102.69,295,2.5,0
0.82,0,0.01,21.58888889,3.463888889,70.87777778,0.422222222,14.24,102.69,295,2.5,0
0.83,0,0.01,21.6,2.612833333,71.55,0.216666667,14.24,102.69,295,2.5,0
0.84,0,0.01,21.47777778,3.202,72.04444444,0.066666667,14.24,102.69,295,2.5,0
0.85,0,0.01,21.2,2.940111111,72.52222222,0.677777778,14.24,102.69,295,2.5,0
0.86,0,0.01,20.84444444,2.940111111,72.81111111,0.677777778,14.24,102.69,295,2.5,0
0.87,0,0.01,20.66666667,2.940111111,72.46666667,0.655555556,14.24,102.69,295,2.5,0
0.88,0,0.01,20.48888889,2.809111111,72.92222222,0.211111111,14.24,102.69,295,2.5,0
0.89,0,0.01,20.32222222,3.987555556,73.46666667,0.455555556,14.24,102.69,295,2.5,0
0.9,0,0.01,20.04444444,3.333,75.23333333,0.066666667,14.24,102.69,295,2.5,0
0.91,0,0.01,20.2,2.22,73.26666667,0.483333333,14.24,102.69,295,2.5,0
0.92,0,0.01,20.42222222,3.333,72.44444444,0.211111111,14.24,102.69,295,2.5,0
0.93,0,0.01,20.31111111,3.725666667,72.74444444,1.177777778,14.24,102.69,295,2.5,0
0.94,0,0.01,20.31111111,3.594888889,72.67777778,0.822222222,14.24,102.69,295,2.5,0
0.95,0,0.01,20,1.630777778,73.97777778,0.533333333,14.24,102.69,295,2.5,0
0.96,0,0.01,19.91111111,2.940111111,74.7,1.877777778,14.24,102.69,295,2.5,0
0.97,0,0.01,19.71111111,2.940111111,75.37777778,1.333333333,14.24,102.69,295,2.5,0
0.98,0,0.01,19.46666667,3.463888889,75.86666667,1.611111111,14.24,102.69,295,2.5,0
0.99,0,0.01,19.48333333,2.4165,75.8,1.183333333,14.24,102.69,295,2.5,0
1,0,0.01,19.46666667,3.332888889,75.56666667,1.833333333,14.24,102.69,295,2.5,0
1.01,0,0.01,19.44444444,2.809222222,75.27777778,1.3,14.24,102.69,295,2.5,0
1.02,0,0.01,19.34444444,3.856777778,75.56666667,1.677777778,14.24,102.69,295,2.5,0
1.03,0,0.01,19.2,2.547222222,76.35555556,2.411111111,14.24,102.69,295,2.5,0
1.04,0,0.01,19.13333333,2.940111111,76.75555556,0.855555556,14.24,102.69,295,2.5,0
1.05,0,0.01,18.93333333,2.940111111,77.53333333,2.577777778,14.24,102.69,295,2.5,0
1.06,0,0.01,18.83333333,2.023666667,77.67777778,2.122222222,14.24,102.69,295,2.5,0
1.07,0,0.01,18.88888889,2.678222222,77.44444444,1.977777778,14.24,102.69,295,2.5,0
1.08,0,0.01,18.81666667,2.809166667,77.88333333,2.916666667,14.24,102.69,295,2.5,0
1.09,0,0.01,18.73333333,3.463888889,78.36666667,0.544444444,14.24,102.69,295,2.5,0
1.1,0,0.01,18.68888889,3.464,78.3,1.677777778,14.24,102.69,295,2.5,0
1.11,0,0.01,18.67777778,3.333111111,78.36666667,2.444444444,14.24,102.69,295,2.5,0
1.12,0,0.01,18.56666667,3.202,78.71111111,2.122222222,14.24,102.69,295,2.5,0
1.13,0,0.01,18.44444444,2.809222222,79.31111111,2.3,14.24,102.69,295,2.5,0
1.14,0,0.01,18.36666667,2.416333333,79.66666667,1.655555556,14.24,102.69,295,2.5,0
1.15,0,0.01,18.24444444,2.154444444,80.05555556,1.577777778,14.24,102.69,295,2.5,0
1.16,0,0.01,18.13333333,3.987666667,80.4,1.216666667,14.24,102.69,295,2.5,0
1.17,0,0.01,17.96666667,3.594888889,80.84444444,1.577777778,14.24,102.69,295,2.5,0
1.18,0,0.01,17.9,2.94,81.15555556,2.144444444,14.24,102.69,295,2.5,0
1.19,0,0.01,17.82222222,2.416333333,81.12222222,2.8,14.24,102.69,295,2.5,0
1.2,0,0.01,17.82222222,3.202,80.71111111,2.8,14.24,102.69,295,2.5,0
1.21,0,0.01,17.85555556,2.940222222,80.36666667,2.811111111,14.24,102.69,295,2.5,0
1.22,0,0.01,17.85555556,3.333,80.47777778,1.4,14.24,102.69,295,2.5,0
1.23,0,0.01,17.87777778,3.202,80.06666667,2.4,14.24,102.69,295,2.5,0
1.24,0,0.01,17.91666667,2.809166667,80.13333333,1.35,14.24,102.69,295,2.5,0
1.25,0,0.01,18,3.202,79.78888889,2.577777778,14.24,102.69,295,2.5,0
1.26,0,0.01,17.96666667,3.202,79.87777778,2.4,14.24,102.69,295,2.5,0
1.27,0,0.01,17.95555556,3.856777778,80.21111111,1.966666667,14.24,102.69,295,2.5,0
1.28,0,0.01,17.97777778,6.979666667,80.55555556,1.388888889,14.24,102.69,295,2.5,0
1.29,0,0.01,18.02222222,16.03077778,80.43333333,1.744444444,14.24,102.69,295,2.5,0
1.3,0,0.01,18.22222222,31.66122222,80.07777778,1.244444444,14.24,102.69,295,2.5,0
1.31,0,0.01,18.54444444,59.81033333,79.38888889,2.077777778,14.24,102.69,295,2.5,0
1.32,0,0.01,19.08888889,90.47522222,77.64444444,3.244444444,14.24,102.69,295,2.5,0
1.33,0,0.01,19.48333333,116.5713333,76.6,3.35,14.24,102.69,295,2.5,0
1.34,0,0.01,19.87777778,135.8503333,75.21111111,3.411111111,14.24,102.69,295,2.5,0
1.35,0,0.01,19.83333333,139.7473333,75.75555556,2.922222222,14.24,102.69,295,2.5,0
1.36,0,0.01,20.93333333,207.0176667,73.17777778,3.588888889,14.24,102.69,295,2.5,0
1.37,0,0.01,21.2,195.5828889,72.03333333,3.766666667,14.24,102.69,295,2.5,0
1.38,0,0.01,21.58888889,212.8995556,71.07777778,2.688888889,14.24,102.69,295,2.5,0
1.39,0,0.01,21.71111111,280.3433333,70.62222222,5.033333333,14.24,102.69,295,2.5,0
1.4,0,0.01,22.05555556,267.4154444,69.36666667,4.766666667,14.24,102.69,295,2.5,0
1.41,0,0.01,22.28333333,292.8661667,68.73333333,4.316666667,14.24,102.69,295,2.5,0
1.42,0,0.01,22.74444444,329.5428889,67.95555556,3.133333333,14.24,102.69,295,2.5,0
1.43,0,0.01,22.9,315.0033333,67.22222222,3.888888889,14.24,102.69,295,2.5,0
1.44,0,0.01,23.13333333,349.2265556,66.88888889,3.411111111,14.24,102.69,295,2.5,0
1.45,0,0.01,23.52222222,356.2182222,65.67777778,3.922222222,14.24,102.69,295,2.5,0
1.46,0,0.01,23.8,328.9342222,65.12222222,3.277777778,14.24,102.69,295,2.5,0
1.47,0,0.01,24.5,420.3404444,63.67777778,2.3,14.24,102.69,295,2.5,0
1.48,0,0.01,25,466.3868889,62.76666667,3.055555556,14.24,102.69,295,2.5,0
1.49,0,0.01,25.48333333,461.3258333,61.46666667,4.683333333,14.24,102.69,295,2.5,0
1.5,0,0.01,25.55555556,522.447,61.44444444,4.066666667,14.24,102.69,295,2.5,0
1.51,0,0.01,25.88888889,558.044,60.33333333,5.688888889,14.24,102.69,295,2.5,0
1.52,0,0.01,26.42222222,518.6942222,59.78888889,4.211111111,14.24,102.69,295,2.5,0
1.53,0,0.01,27.03333333,581.208,58.42222222,3.944444444,14.24,102.69,295,2.5,0
1.54,0,0.01,27,523.3875556,58.76666667,4.566666667,14.24,102.69,295,2.5,0
1.55,0,0.01,27.21111111,495.0191111,57.95555556,3.988888889,14.24,102.69,295,2.5,0
1.56,0,0.01,27.27777778,507.0303333,58.24444444,4.177777778,14.24,102.69,295,2.5,0
1.57,0,0.01,27.16666667,519.9432222,58.65555556,2.977777778,14.24,102.69,295,2.5,0
1.58,0,0.01,27.55,491.407,57.48333333,6.366666667,14.24,102.69,295,2.5,0
1.59,0,0.01,27.76666667,480.9782222,57.03333333,6.8,14.24,102.69,295,2.5,0
1.6,0,0.01,27.77777778,410.1088889,57.31111111,4.7,14.24,102.69,295,2.5,0
1.61,0,0.01,27.91111111,432.5315556,56.65555556,5.5,14.24,102.69,295,2.5,0
1.62,0,0.01,28.17777778,382.2285556,56.27777778,4.4,14.24,102.69,295,2.5,0
1.63,0,0.01,27.84444444,350.8536667,56.75555556,5.466666667,14.24,102.69,295,2.5,0
1.64,0,0.01,28.13333333,309.7248889,56.34444444,3.722222222,14.24,102.69,295,2.5,0
1.65,0,0.01,27.55555556,250.5693333,57.72222222,4.844444444,14.24,102.69,295,2.5,0
1.66,0,0.01,27.61666667,234.9515,57.66666667,3.616666667,14.24,102.69,295,2.5,0
1.67,0,0.01,27.58888889,226.9358889,57.85555556,3.044444444,14.24,102.69,295,2.5,0
1.68,0,0.01,27.4,191.8703333,58.06666667,6,14.24,102.69,295,2.5,0
1.69,0,0.01,27.17777778,152.5786667,58.63333333,2.288888889,14.24,102.69,295,2.5,0
1.7,0,0.01,26.74444444,109.0534444,59.54444444,3.1,14.24,102.69,295,2.5,0
1.71,0,0.01,26.42222222,68.492,60.74444444,1.5,14.24,102.69,295,2.5,0
1.72,0,0.01,25.88888889,41.192,61.91111111,2.288888889,14.24,102.69,295,2.5,0
1.73,0,0.01,25.45555556,20.71288889,63,1.788888889,14.24,102.69,295,2.5,0
1.74,0,0.01,25,9.428,64.75,2.116666667,14.24,102.69,295,2.5,0
1.75,0,0.01,24.37777778,4.773222222,66.97777778,0.822222222,14.24,102.69,295,2.5,0
1.76,0,0.01,23.82222222,2.940111111,68.7,1.388888889,14.24,102.69,295,2.5,0
1.77,0,0.01,23.58888889,2.940222222,69.5,0.244444444,14.24,102.69,295,2.5,0
1.78,0,0.01,23.41111111,3.987555556,70.6,0.433333333,14.24,102.69,295,2.5,0
1.79,0,0.01,23.17777778,3.725777778,71.63333333,1.033333333,14.24,102.69,295,2.5,0
1.8,0,0.01,22.98888889,3.463777778,72.07777778,1.011111111,14.24,102.69,295,2.5,0
1.81,0,0.01,22.84444444,2.023555556,72.06666667,1.877777778,14.24,102.69,295,2.5,0
1.82,0,0.01,22.8,3.463888889,72.13333333,1.544444444,14.24,102.69,295,2.5,0
1.83,0,0.01,22.71666667,3.202166667,72.4,1.133333333,14.24,102.69,295,2.5,0
1.84,0,0.01,22.56666667,2.678222222,72.73333333,0.777777778,14.24,102.69,295,2.5,0
1.85,0,0.01,22.37777778,2.940111111,73.16666667,1.422222222,14.24,102.69,295,2.5,0
1.86,0,0.01,22.3,3.594777778,73.62222222,1.655555556,14.24,102.69,295,2.5,0
1.87,0,0.01,22.46666667,2.678333333,72.28888889,1.788888889,14.24,102.69,295,2.5,0
1.88,0,0.01,22.77777778,3.856777778,70.94444444,2.122222222,14.24,102.69,295,2.5,0
1.89,0,0.01,22.72222222,3.856666667,71.27777778,0.433333333,14.24,102.69,295,2.5,0
1.9,0,0.01,22.52222222,3.594888889,71.44444444,0.788888889,14.24,102.69,295,2.5,0
1.91,0,0.01,22.5,2.809,71.51666667,1.083333333,14.24,102.69,295,2.5,0
1.92,0,0.01,22.54444444,3.332888889,71.42222222,1.444444444,14.24,102.69,295,2.5,0
1.93,0,0.01,22.57777778,2.678333333,71.47777778,0.966666667,14.24,102.69,295,2.5,0
1.94,0,0.01,22.4,2.285444444,72.05555556,0.211111111,14.24,102.69,295,2.5,0
1.95,0,0.01,22.16666667,3.071,72.88888889,0.733333333,14.24,102.69,295,2.5,0
1.96,0,0.01,22.05555556,3.463888889,73.36666667,0.388888889,14.24,102.69,295,2.5,0
1.97,0,0.01,21.94444444,3.202,73.97777778,2.011111111,14.24,102.69,295,2.5,0
1.98,0,0.01,21.8,2.547333333,74.23333333,0.933333333,14.24,102.69,295,2.5,0
1.99,0,0.01,21.6,3.3985,74.75,1.133333333,14.24,102.69,295,2.5,0
2,0,0.01,21.43333333,3.856777778,75.15555556,2.044444444,14.24,102.69,295,2.5,0
2.01,0,0.01,21.31111111,2.678333333,75.82222222,0.955555556,14.24,102.69,295,2.5,0
2.02,0,0.01,21.25555556,3.071111111,75.87777778,1.977777778,14.24,102.69,295,2.5,0
2.03,0,0.01,21.33333333,3.464,75.31111111,1.488888889,14.24,102.69,295,2.5,0
2.04,0,0.01,21.31111111,2.678222222,75.45555556,2.588888889,14.24,102.69,295,2.5,0
2.05,0,0.01,21.24444444,3.071111111,75.7,2.766666667,14.24,102.69,295,2.5,0
2.06,0,0.01,21.1,3.594777778,76.15555556,1.222222222,14.24,102.69,295,2.5,0
2.07,0,0.01,20.97777778,2.809222222,76.31111111,2.322222222,14.24,102.69,295,2.5,0
2.08,0,0.01,20.9,3.594833333,76.41666667,1.183333333,14.24,102.69,295,2.5,0
2.09,0,0.01,20.85555556,2.547333333,76.43333333,3.655555556,14.24,102.69,295,2.5,0
2.1,0,0.01,20.83333333,2.547333333,76.25555556,1.833333333,14.24,102.69,295,2.5,0
2.11,0,0.01,20.74444444,2.809222222,76.23333333,2.488888889,14.24,102.69,295,2.5,0
2.12,0,0.01,20.72857143,4.739142857,77.62857143,2.4,14.24,102.69,295,2.5,0
2.13,0,0.01,20.65,5.696,79.01666667,1,14.24,102.69,295,2.5,0
2.14,0,0.01,20.46666667,4.910333333,79.1,3.15,14.24,102.69,295,2.5,0
2.15,0,0.01,20.25,5.499333333,79.15,4.183333333,14.24,102.69,295,2.5,0
2.16,0,0.01,20.1,4.41925,79.2,3.575,14.24,102.69,295,2.5,0
2.17,0,0.01,19.95,4.517333333,79.71666667,1.133333333,14.24,102.69,295,2.5,0
2.18,0,0.01,19.78333333,4.321,80.28333333,1.616666667,14.24,102.69,295,2.5,0
2.19,0,0.01,19.53333333,4.321,80.78333333,1.866666667,14.24,102.69,295,2.5,0
2.2,0,0.01,19.53333333,4.910166667,80.55,1.35,14.24,102.69,295,2.5,0
2.21,0,0.01,19.4,5.1065,80.93333333,1.766666667,14.24,102.69,295,2.5,0
2.22,0,0.01,19.13333333,5.106333333,81.7,1.383333333,14.24,102.69,295,2.5,0
2.23,0,0.01,18.95,6.285166667,81.88333333,2.25,14.24,102.69,295,2.5,0
2.24,0,0.01,18.875,5.00825,81.7,3.475,14.24,102.69,295,2.5,0
2.25,0,0.01,18.88333333,4.713833333,81.75,0.433333333,14.24,102.69,295,2.5,0
2.26,0,0.01,18.68333333,4.320833333,82.61666667,1.016666667,14.24,102.69,295,2.5,0
2.27,0,0.01,18.53333333,7.267,83.11666667,2.85,14.24,102.69,295,2.5,0
2.28,0,0.01,18.55,14.53466667,82.93333333,1.133333333,14.24,102.69,295,2.5,0
2.29,0,0.01,18.71666667,31.23,82.2,1.416666667,14.24,102.69,295,2.5,0
2.3,0,0.01,19.46666667,51.068,79.71666667,2.2,14.24,102.69,295,2.5,0
2.31,0,0.01,20.03333333,80.7265,77.55,2.266666667,14.24,102.69,295,2.5,0
2.32,0,0.01,20.88333333,120.2058333,74.71666667,2.516666667,14.24,102.69,295,2.5,0
2.33,0,0.01,20.925,138.7675,74.725,4.2,14.24,102.69,295,2.5,0
2.34,0,0.01,21.28333333,169.7025,73.31666667,4.75,14.24,102.69,295,2.5,0
2.35,0,0.01,21.85,198.1825,71.85,3.55,14.24,102.69,295,2.5,0
2.36,0,0.01,22.13333333,214.485,71.28333333,3.483333333,14.24,102.69,295,2.5,0
2.37,0,0.01,22.38333333,228.6271667,70.6,2.683333333,14.24,102.69,295,2.5,0
2.38,0,0.01,22.61666667,264.7675,70,2.8,14.24,102.69,295,2.5,0
2.39,0,0.01,22.95,290.1051667,69.15,3.716666667,14.24,102.69,295,2.5,0
2.4,0,0.01,23.05,315.8353333,68.96666667,4.916666667,14.24,102.69,295,2.5,0
2.41,0,0.01,23.4,345.003,68.775,4.2,14.24,102.69,295,2.5,0
2.42,0,0.01,23.5875,382.912125,66.925,5.5,14.24,102.69,295,2.5,0
2.43,0,0.01,24.54444444,420.2772222,64.46666667,4.166666667,14.24,102.69,295,2.5,0
2.44,0,0.01,25.16666667,447.2247778,63.07777778,4.344444444,14.24,102.69,295,2.5,0
2.45,0,0.01,25.3,479.9743333,62.68888889,3.688888889,14.24,102.69,295,2.5,0
2.46,0,0.01,25.44444444,481.4058889,62.57777778,4.633333333,14.24,102.69,295,2.5,0
2.47,0,0.01,26.17777778,474.8494444,61.15555556,3.255555556,14.24,102.69,295,2.5,0
2.48,0,0.01,26.88888889,543.0032222,59.45555556,4.9,14.24,102.69,295,2.5,0
2.49,0,0.01,27.4,660.3548333,57.88333333,7.016666667,14.24,102.69,295,2.5,0
2.5,0,0.01,27.53333333,645.4174444,58.04444444,3.766666667,14.24,102.69,295,2.5,0
2.51,0,0.01,28,623.0487778,56.96666667,3.522222222,14.24,102.69,295,2.5,0
2.52,0,0.01,28.28888889,588.0193333,56.7,3.2,14.24,102.69,295,2.5,0
2.53,0,0.01,28.96666667,585.9743333,55.14444444,3.811111111,14.24,102.69,295,2.5,0
2.54,0,0.01,28.91111111,557.8655556,55.42222222,3.6,14.24,102.69,295,2.5,0
2.55,0,0.01,28.6,404.4392222,56.03333333,4.955555556,14.24,102.69,295,2.5,0
2.56,0,0.01,28.47777778,429.8462222,56.55555556,4,14.24,102.69,295,2.5,0
2.57,0,0.01,28.78888889,417.4877778,55.95555556,3.155555556,14.24,102.69,295,2.5,0
2.58,0,0.01,28.86666667,478.9253333,55.85,1.733333333,14.24,102.69,295,2.5,0
2.59,0,0.01,29.35555556,450.7503333,54.76666667,3.844444444,14.24,102.69,295,2.5,0
2.6,0,0.01,29.37777778,408.4883333,54.62222222,4.1,14.24,102.69,295,2.5,0
2.61,0,0.01,29.3,392.853,54.625,4.1875,14.24,102.69,295,2.5,0
2.62,0,0.01,29.43333333,423.5543333,54.33333333,5.222222222,14.24,102.69,295,2.5,0
2.63,0,0.01,29.6,329.388,54.38333333,4.6,14.24,102.69,295,2.5,0
2.64,0,0.01,29.06666667,272.0346667,56.28333333,4.683333333,14.24,102.69,295,2.5,0
2.65,0,0.01,29.03333333,278.9091667,56.38333333,3.283333333,14.24,102.69,295,2.5,0
2.66,0,0.01,29.175,327.32575,56.025,4.6,14.24,102.69,295,2.5,0
2.67,0,0.01,29.06666667,279.1056667,55.93333333,6.283333333,14.24,102.69,295,2.5,0
2.68,0,0.01,29.3,217.6276667,55.41666667,4.85,14.24,102.69,295,2.5,0
2.69,0,0.01,28.85,173.8273333,56.53333333,5.95,14.24,102.69,295,2.5,0
2.7,0,0.01,28.61666667,125.7055,57.35,2.05,14.24,102.69,295,2.5,0
2.71,0,0.01,27.91666667,88.58316667,58.88333333,3.466666667,14.24,102.69,295,2.5,0
2.72,0,0.01,27.73333333,57.15683333,59.7,2.866666667,14.24,102.69,295,2.5,0
2.73,0,0.01,26.93333333,28.6765,62.51666667,2.466666667,14.24,102.69,295,2.5,0
2.74,0,0.01,26.325,14.731,64.225,4.275,14.24,102.69,295,2.5,0
2.75,0,0.01,25.88333333,8.052666667,66.28333333,1.066666667,14.24,102.69,295,2.5,0
2.76,0,0.01,25.5,6.285,67.46666667,1.183333333,14.24,102.69,295,2.5,0
2.77,0,0.01,25.1,4.321,68.53333333,1.116666667,14.24,102.69,295,2.5,0
2.78,0,0.01,24.63333333,5.1065,70.65,0,14.24,102.69,295,2.5,0
2.79,0,0.01,23.93333333,5.106666667,73.31666667,0.1,14.24,102.69,295,2.5,0
2.8,0,0.01,23.55,5.302833333,74.98333333,0.166666667,14.24,102.69,295,2.5,0
2.81,0,0.01,23.46666667,5.106666667,74.46666667,1.85,14.24,102.69,295,2.5,0
2.82,0,0.01,23.4,5.1065,74.21666667,0.1,14.24,102.69,295,2.5,0
2.83,0,0.01,23.225,5.00825,74.6,0.4,14.24,102.69,295,2.5,0
2.84,0,0.01,22.85,4.910166667,76.15,0.1,14.24,102.69,295,2.5,0
2.85,0,0.01,22.5,5.696,77.66666667,0,14.24,102.69,295,2.5,0
2.86,0,0.01,22.38333333,5.499333333,78.66666667,0.1,14.24,102.69,295,2.5,0
2.87,0,0.01,22.38333333,4.910166667,79.33333333,0.15,14.24,102.69,295,2.5,0
2.88,0,0.01,22.28333333,4.713666667,79.88333333,0.316666667,14.24,102.69,295,2.5,0
